# id	left	top	right	bottom	texture_id
[SPRITES]
#####  BIG ###############
#IDLE
11121	1029	93	1042	120	60
11111	1	93	14	120	60

#WALKING RIGHT
11222	1029	93	1042	120	60
11223	1009	93	1024	118	60
11224	991	93	1006	118	60

#WALKING LEFT
11212	1	93	14	120	60
11213	19	93	34	118	60
11214	37	93	52	118	60

#RUNNING RIGHT
11321	934	93	953	120	60
11322	908	93	927	120	60
11323	882	93	901	118	60

#RUNNING LEFT
11311	91	93	110	120	60
11312	117	93	136	120	60
11313	143	93	162	118	60

#JUMP WALK RIGHT & LEFT
11417	955	93	970	118	60
11413	73	93	88	118	60

#JUMP RUN RIGHT & LEFT
11427	856	93	875	118	60
11423	169	93	188	118	60

# JUMP RELEASE LEFT & RIGHT
11433	37	93	52	120	60
11437	991	93	1006	120	60

#SIT RIGHT & LEFT 
11521	975	102	988	119	60
11511	55	102	68	119	60

#BRACE RIGHT & LEFT 
11621	833	92	848	119	60
11611	195	92	210	119	60

# HOLDSHELL LEFT & RIGHT
##	IDLE
11711	249	93	262	120	60
11712	781	93	794	120	60
##	WALK
11721	267	93	282	120	60
11722	762	93	777	120	60
##	RUNNING
11731	285	93	300	120	60
11732	743	93	758	120	60
##	KICK
11741	306	93	327	120	60
11742	717	93	738	120	60

#DIE
#13001	215	120	234	137	0
13001	307	16	322	33	60

############ SMALL ################
 #IDLE
12121	1029	17	1040	32	60
12111	3	17	14	32	60

#WALK RIGHT
12222	1029	17	1040	32	60
12223	1009	15	1024	30	60

#WALK LEFT
12212	3	17	14	32	60
12213	20	15	35	30	60

#RUN RIGHT
12321	955	16	970	31	60
12322	1009	16	1024	31	60
12323	973	16	988	31	60

#RUN LEFT
12311	73	16	88	31	60
12312	20	16	35	31	60
12313	55	16	70	31	60

#BRACE RIGHT & LEFT
#12511	6	0	19	15	0
#12521	426	0	439	15	0
12511	110	16	123	31	60
12521	920	16	933	31	60

#JUMP WALK RIGHT & LEFT 
#12413	35	80	50	95	0
#12417	395	80	410	95	0
12413	37	16	52	31	60
12417	991	16	1006	31	60

#JUMP RUN RIGHT & LEFT 
#12423	65	40	80	55	0
#12427	365	40	380	55	0
12423	91	16	106	31	60
12427	937	16	952	31	60

# HOLD SHELL
##	IDLE LEFT & RIGHT
12611	145	16	158	31	60
12612	885	16	898	31	60
##	WALK LEFT & RIGHT
12621	163	16	178	31	60
12622	866	16	881	31	60
##	KICK LEFT & RIGHT
12631	181	16	196	31	60
12632	847	16	862	31	60

############ RACOON ################
# IDLE
14111	1	350	22	377	60
14121	1022	350	1043	377	60

# WALK LEFT
14211	1	350	22	377	60
14212	27	350	48	377	60
14213	53	350	76	377	60

# WALK RIGHT
14221	1022	350	1043	377	60
14222	995	350	1016	377	60
14223	968	350	991	377	60

# RUN LEFT
14311	183	350	206	377	60
14312	209	350	232	377	60
14313	235	350	258	377	60

# RUN RIGHT
14321	837	350	860	377	60
14322	811	350	834	377	60
14323	785	350	808	377	60

# JUMP WALK LEFT & RIGHT
14413	105	350	128	377	60
14417	916	350	939	377	60

# JUMP RUN LEFT & RIGHT
14423	261	350	284	377	60
14427	759	350	782	377	60

# JUMP RELEASE LEFT & RIGHT
14433	53	350	76	377	60
14437	968	350	991	377	60

# SIT LEFT & RIGHT
14511	79	360	100	377	60
14521	943	360	964	377	60

# BRACE LEFT & RIGHT
14611	339	349	354	378	60
14621	689	349	704	378	60

# FLAP FLOW LEFT
14711	131	350	154	377	60
14712	53	350	76	377	60
14713	157	350	178	377	60

# FLAP FLOW RIGHT
14721	890	350	913	377	60
